sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
Ecommerce & Retail,10.01,post engagement,8,2020,3,8,2020,3,False,5.958424693029782,9.23883064237581,9.399968503952575
Ecommerce & Retail,79.81,Traffic,10,2019,4,10,2019,4,False,7.31455283232408,11.659637115129055,12.928079354770672
Ecommerce & Retail,70.0,Traffic,1,2019,1,1,2019,1,True,5.484796933490655,10.835986223254492,11.341116457192811
Ecommerce & Retail,10.0,post engagement,5,2021,2,5,2021,2,False,7.935945103353701,10.218553734200675,10.494463570484948
Ecommerce & Retail,10.0,post engagement,5,2021,2,4,2021,2,False,6.049733455231958,8.414717399827001,8.697178688412643
Ecommerce & Retail,19.92,Traffic,3,2021,1,2,2021,1,False,6.658011045870748,9.887815383141833,11.348097990478855
Ecommerce & Retail,4.21,CONVERSIONS,12,2020,4,12,2020,4,False,2.8903717578961645,8.37309184744198,8.99205997632796
Travel,2.4,post engagement,7,2019,3,7,2019,3,False,4.77912349311153,7.469083884921234,7.484930283289661
Ecommerce & Retail,3.57,post engagement,11,2019,4,10,2019,4,False,5.231108616854587,9.052633375946147,9.112948025967533
Ecommerce & Retail,14.76,post engagement,5,2020,2,5,2020,2,False,6.364750756851911,10.179337399481271,10.66043079117615
Ecommerce & Retail,204.8,lead generation,6,2020,2,6,2020,2,True,4.6913478822291435,11.875448276750562,12.699521158056202
Ecommerce & Retail,6.0,Traffic,10,2021,4,10,2021,4,False,5.241747015059643,9.128804883993665,9.647691668946669
Ecommerce & Retail,64.72,Messages,4,2020,2,4,2020,2,False,5.645446897643238,11.733192884178937,12.568863350022818
Travel,134.73,Messages,11,2021,4,11,2021,4,False,5.5053315359323625,11.108035191612906,12.180072553561041
Ecommerce & Retail,74.57,Traffic,4,2020,2,4,2020,2,False,7.851271997109883,10.053328960775287,12.440318339355276
Ecommerce & Retail,50.6,Messages,3,2022,1,2,2022,1,False,3.9318256327243257,10.840972100417284,11.433211036740431
Ecommerce & Retail,13.02,post engagement,5,2022,2,5,2022,2,False,7.748028524432376,10.441412646183837,10.689942910229725
Travel,23.37,Traffic,1,2022,1,1,2022,1,False,8.678801706612651,10.889005795033986,11.185892537563756
Travel,21.23,post engagement,3,2021,1,3,2021,1,False,7.160845906664299,10.231927617460077,10.833523386201955
Ecommerce & Retail,4.03,CONVERSIONS,5,2022,2,4,2022,2,False,0.6931471805599453,8.39185670010494,8.484669999710677
Travel,80.97,Traffic,12,2021,4,11,2021,4,False,8.27715777243181,12.316683354770127,12.9714846721586
Travel,10.0,Traffic,6,2020,2,6,2020,2,False,6.349138991379798,10.2456933210051,10.356631095961035
Travel,17.02,Messages,1,2022,1,1,2022,1,False,2.9444389791664403,9.426821780416843,9.674828820533808
Ecommerce & Retail,10.82,Traffic,4,2020,2,4,2020,2,False,6.943122422819428,10.471553253474193,10.868054030575173
Travel,113.7,post engagement,2,2022,1,2,2022,1,False,12.306302521938967,12.232110694078946,12.779512440058665
B2B,88.27,lead generation,5,2019,2,5,2019,2,False,3.6375861597263857,11.075334813356704,11.687105637114154
Ecommerce & Retail,137.41,CONVERSIONS,1,2021,1,1,2021,1,False,2.0794415416798357,11.641644044567801,12.729211153655324
Ecommerce & Retail,12.0,Traffic,8,2021,3,8,2021,3,False,5.1298987149230735,10.729065520276563,11.377266095522472
Automotive,37.33,post engagement,12,2021,4,12,2021,4,True,6.7661917146603505,10.189079943122826,10.838403748533448
Ecommerce & Retail,9.99,Traffic,10,2021,4,10,2021,4,False,6.366470447731438,11.068885834882288,11.338726827755824
Travel,30.0,post engagement,1,2019,1,12,2018,4,False,8.70201162840878,11.888845037415514,11.968937922651609
Ecommerce & Retail,20.03,post engagement,6,2020,2,6,2020,2,False,6.670766320845874,10.275637144113018,10.586458126644512
Ecommerce & Retail,113.47,CONVERSIONS,7,2021,3,6,2021,2,True,2.3978952727983707,11.345795922914771,12.412147349364659
Ecommerce & Retail,1.05,post engagement,5,2020,2,5,2020,2,False,4.31748811353631,7.734558844354756,7.754052639035757
Travel,0.3,Traffic,10,2019,4,10,2019,4,False,1.0986122886681098,5.1298987149230735,5.1298987149230735
Ecommerce & Retail,98.08,post engagement,4,2020,2,4,2020,2,False,8.16223106548118,10.276188393050319,12.624190699761654
Ecommerce & Retail,22.18,Messages,7,2021,3,7,2021,3,True,4.382026634673881,10.478329686215535,10.773524899892822
Ecommerce & Retail,46.94,CONVERSIONS,5,2022,2,5,2022,2,True,1.6094379124341003,9.773037123152063,10.916469328564263
Ecommerce & Retail,46.98,post engagement,4,2020,2,4,2020,2,False,6.976348070447749,10.316159958893644,11.625378767241278
Automotive,30.87,Traffic,2,2022,1,2,2022,1,False,6.672032945461067,10.369263507748395,11.76329500253803
B2B,34.93,lead generation,5,2022,2,5,2022,2,False,2.3978952727983707,8.837971491357209,9.755277525370941
B2B,25.26,lead generation,6,2020,2,6,2020,2,False,1.9459101490553132,9.99337395933065,10.695959570639554
Ecommerce & Retail,435.81,pages likes,1,2022,1,10,2021,4,False,8.623533227187563,11.315754194925939,12.41809862503046
Ecommerce & Retail,20.0,post engagement,4,2022,2,4,2022,2,False,8.933004591578547,10.498387745089026,11.35739383206604
Ecommerce & Retail,45.72,post engagement,2,2021,1,2,2021,1,False,7.84971375760487,10.854875121447712,11.106309695104668
Ecommerce & Retail,0.57,post engagement,9,2020,3,9,2020,3,False,3.6375861597263857,6.68586094706836,6.70073110954781
Ecommerce & Retail,43.65,Traffic,5,2022,2,5,2022,2,True,7.8547691834991324,11.746454895836855,12.658141402139542
Ecommerce & Retail,6.62,post engagement,11,2020,4,11,2020,4,False,8.314097335405807,8.646992628951082,8.729720590267258
Ecommerce & Retail,135.92,Traffic,5,2021,2,4,2021,2,False,9.314880551250107,13.073673008255208,14.849676765666533
